Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,datetime,hour,day,weekday,month,is_weekend
2024-05-13,20:52:35,"""CNR5290542""",Completed,"""CID5651810""",Go Mini,Mundka,Ambience Mall,4.0,40.0,889.0,48.24,4.3,3.5,UPI,2024-05-13 20:52:35,20,13,0,5,0
2024-10-18,17:27:14,"""CNR6355753""",Completed,"""CID9262905""",eBike,Mundka,Pragati Maidan,10.0,33.7,720.0,25.95,3.7,4.9,Uber Wallet,2024-10-18 17:27:14,17,18,4,10,0
2024-06-18,18:05:03,"""CNR6529944""",Completed,"""CID9268856""",Go Mini,Jama Masjid,Samaypur Badli,12.9,22.8,322.0,23.68,3.3,4.7,UPI,2024-06-18 18:05:03,18,18,1,6,0
2024-01-11,17:36:16,"""CNR4742042""",Completed,"""CID4890984""",Auto,Bhiwadi,Tughlakabad,8.2,30.3,201.0,30.85,4.1,3.9,Cash,2024-01-11 17:36:16,17,11,3,1,0
2024-03-30,11:47:47,"""CNR3588287""",Completed,"""CID7693694""",Go Sedan,Noida Sector 18,Gurgaon Railway Station,8.5,44.1,420.0,33.96,4.6,3.7,UPI,2024-03-30 11:47:47,11,30,5,3,1
2024-10-08,07:07:28,"""CNR9021576""",Completed,"""CID8468564""",Go Mini,Tagore Garden,Model Town,10.2,36.6,643.0,18.77,3.4,4.8,Cash,2024-10-08 07:07:28,7,8,1,10,0
2024-10-07,05:56:12,"""CNR1325122""",Completed,"""CID7901074""",eBike,Pragati Maidan,Janakpuri,12.0,21.3,847.0,3.34,3.6,3.3,Uber Wallet,2024-10-07 05:56:12,5,7,0,10,0
2024-04-08,12:50:35,"""CNR5868183""",Completed,"""CID8741118""",Bike,Delhi Gate,DLF Phase 3,7.1,29.8,851.0,12.9,3.7,4.8,Uber Wallet,2024-04-08 12:50:35,12,8,0,4,0
2024-04-19,20:25:58,"""CNR1343785""",Completed,"""CID2003464""",Go Sedan,Chhatarpur,Mandi House,9.6,33.1,79.0,37.24,3.6,3.2,Cash,2024-04-19 20:25:58,20,19,4,4,0
2024-08-05,11:35:55,"""CNR5949768""",Completed,"""CID5714474""",Auto,Narsinghpur,Rohini West,14.1,42.2,304.0,4.98,3.9,4.6,Uber Wallet,2024-08-05 11:35:55,11,5,0,8,0
2024-08-15,15:11:07,"""CNR7928281""",Completed,"""CID4993969""",Auto,Vishwavidyalaya,Netaji Subhash Place,11.0,16.6,602.0,22.75,4.5,4.2,Credit Card,2024-08-15 15:11:07,15,15,3,8,0
2024-01-08,01:52:11,"""CNR9557764""",Completed,"""CID8671489""",Bike,Patel Chowk,Rohini,6.1,41.5,76.0,49.64,3.3,4.9,Uber Wallet,2024-01-08 01:52:11,1,8,0,1,0
2024-03-03,18:24:45,"""CNR6588020""",Completed,"""CID4320269""",Premier Sedan,Connaught Place,Mehrauli,5.1,27.0,282.0,36.66,3.3,3.7,Cash,2024-03-03 18:24:45,18,3,6,3,1
2024-11-22,18:25:07,"""CNR1022020""",Completed,"""CID4816297""",Premier Sedan,IMT Manesar,Chanakyapuri,13.9,34.8,238.0,43.37,3.2,4.3,Uber Wallet,2024-11-22 18:25:07,18,22,4,11,0
2024-12-25,10:15:30,"""CNR9538874""",Completed,"""CID4167993""",Bike,Aya Nagar,Vishwavidyalaya,7.3,16.7,921.0,22.55,4.9,3.2,Cash,2024-12-25 10:15:30,10,25,2,12,0
2024-09-02,17:58:22,"""CNR5274943""",Completed,"""CID8652238""",Auto,Palam Vihar,Jasola,3.5,30.5,702.0,38.3,4.4,4.0,UPI,2024-09-02 17:58:22,17,2,0,9,0
2024-12-29,15:26:29,"""CNR9406760""",Completed,"""CID4374646""",Auto,Netaji Subhash Place,Noida Sector 62,12.2,25.4,115.0,18.54,4.1,4.2,Debit Card,2024-12-29 15:26:29,15,29,6,12,1
2024-11-29,13:12:47,"""CNR9178413""",Completed,"""CID5364906""",Premier Sedan,Adarsh Nagar,Anand Vihar,10.9,24.8,215.0,40.16,4.1,4.0,UPI,2024-11-29 13:12:47,13,29,4,11,0
2024-05-02,03:34:25,"""CNR8839205""",Completed,"""CID1264829""",Go Sedan,Indirapuram,Ashok Vihar,10.2,35.9,449.0,26.12,3.0,4.7,Cash,2024-05-02 03:34:25,3,2,3,5,0
2024-12-11,19:53:33,"""CNR9545075""",Completed,"""CID6937332""",Uber XL,Indraprastha,INA Market,12.2,19.7,236.0,23.67,4.2,4.3,Uber Wallet,2024-12-11 19:53:33,19,11,2,12,0
2024-01-02,07:37:18,"""CNR1168840""",Completed,"""CID6874588""",Bike,Karkarduma,Ramesh Nagar,12.8,24.1,882.0,42.36,4.4,4.2,Uber Wallet,2024-01-02 07:37:18,7,2,1,1,0
2024-10-07,21:21:22,"""CNR3457467""",Completed,"""CID7791609""",Premier Sedan,Ashram,ITO,14.0,19.1,482.0,37.64,4.3,4.6,Uber Wallet,2024-10-07 21:21:22,21,7,0,10,0
2024-07-26,15:46:11,"""CNR4616584""",Completed,"""CID3429359""",Go Sedan,Greater Noida,Jor Bagh,10.2,17.4,2075.0,34.53,3.4,5.0,Uber Wallet,2024-07-26 15:46:11,15,26,4,7,0
2024-11-23,18:00:29,"""CNR8961515""",Completed,"""CID4194744""",Go Mini,Seelampur,Jhilmil,11.5,44.1,1066.0,22.61,4.2,5.0,Cash,2024-11-23 18:00:29,18,23,5,11,1
2024-02-14,17:41:02,"""CNR3392650""",Completed,"""CID9793709""",Bike,Sikanderpur,Model Town,10.1,32.3,699.0,26.58,4.8,4.9,UPI,2024-02-14 17:41:02,17,14,2,2,0
2024-10-14,20:26:00,"""CNR5848738""",Completed,"""CID2571556""",Go Mini,Sushant Lok,Golf Course Road,5.0,26.6,508.0,45.24,3.3,3.9,Cash,2024-10-14 20:26:00,20,14,0,10,0
2024-03-01,14:57:00,"""CNR3495701""",Completed,"""CID6510775""",Bike,Dwarka Sector 21,Maidan Garhi,9.8,39.3,163.0,18.29,4.3,4.5,Cash,2024-03-01 14:57:00,14,1,4,3,0
2024-03-09,18:52:13,"""CNR7222634""",Completed,"""CID1820591""",Uber XL,Subhash Chowk,Mundka,3.4,37.1,802.0,33.82,4.8,4.1,Credit Card,2024-03-09 18:52:13,18,9,5,3,1
2024-01-17,12:40:59,"""CNR9078392""",Completed,"""CID6627944""",Go Sedan,Pragati Maidan,Vidhan Sabha,8.3,19.6,306.0,36.8,3.9,4.8,UPI,2024-01-17 12:40:59,12,17,2,1,0
2024-12-14,17:54:10,"""CNR8991982""",Completed,"""CID2837976""",Go Mini,Nehru Place,Panipat,3.7,44.9,649.0,10.52,4.6,4.9,UPI,2024-12-14 17:54:10,17,14,5,12,1
2024-01-11,03:44:29,"""CNR3865465""",Completed,"""CID5130140""",Auto,Ambience Mall,Vishwavidyalaya,2.6,35.5,89.0,31.87,4.2,4.3,Cash,2024-01-11 03:44:29,3,11,3,1,0
2024-01-19,10:26:59,"""CNR4690821""",Completed,"""CID8821618""",Go Mini,Huda City Centre,Paschim Vihar,14.0,41.0,55.0,23.19,4.3,4.9,Cash,2024-01-19 10:26:59,10,19,4,1,0
2024-01-31,19:23:34,"""CNR9815678""",Completed,"""CID3527869""",Bike,Dwarka Sector 21,Mundka,5.7,28.1,72.0,12.98,4.6,4.1,Cash,2024-01-31 19:23:34,19,31,2,1,0
2024-05-23,15:21:43,"""CNR9489543""",Completed,"""CID7471509""",Premier Sedan,Bhiwadi,Badarpur,4.9,22.7,133.0,35.07,4.2,4.2,Cash,2024-05-23 15:21:43,15,23,3,5,0
2024-02-12,08:38:01,"""CNR7061527""",Completed,"""CID3441947""",Go Sedan,Hero Honda Chowk,Faridabad Sector 15,11.8,23.0,988.0,3.2,4.2,5.0,Cash,2024-02-12 08:38:01,8,12,0,2,0
2024-08-07,16:55:33,"""CNR4930500""",Completed,"""CID5823862""",Auto,Tis Hazari,Greater Kailash,2.6,23.3,167.0,27.65,4.3,4.3,Uber Wallet,2024-08-07 16:55:33,16,7,2,8,0
2024-05-12,12:06:55,"""CNR7554918""",Completed,"""CID4195953""",Uber XL,Peeragarhi,Sikanderpur,15.0,18.0,438.0,18.12,4.6,4.3,Debit Card,2024-05-12 12:06:55,12,12,6,5,1
2024-02-08,10:51:46,"""CNR8796491""",Completed,"""CID4363820""",eBike,Malviya Nagar,Sohna Road,9.8,40.9,391.0,17.34,3.9,4.6,UPI,2024-02-08 10:51:46,10,8,3,2,0
2024-06-26,08:55:30,"""CNR9733405""",Completed,"""CID3061045""",Go Mini,Subhash Chowk,Botanical Garden,10.4,15.0,615.0,16.22,4.5,4.6,UPI,2024-06-26 08:55:30,8,26,2,6,0
2024-07-21,05:04:30,"""CNR9925062""",Completed,"""CID2268852""",Go Mini,Central Secretariat,Kadarpur,8.8,34.6,654.0,41.75,5.0,4.9,UPI,2024-07-21 05:04:30,5,21,6,7,1
2024-08-16,15:21:15,"""CNR5476351""",Completed,"""CID5860330""",Premier Sedan,Uttam Nagar,Udyog Bhawan,14.5,19.3,278.0,35.73,4.5,4.7,UPI,2024-08-16 15:21:15,15,16,4,8,0
2024-04-02,08:49:12,"""CNR6926667""",Completed,"""CID9067135""",Go Sedan,Ashok Park Main,Lal Quila,11.6,24.2,77.0,46.26,4.8,4.9,Cash,2024-04-02 08:49:12,8,2,1,4,0
2024-06-18,11:55:34,"""CNR3734736""",Completed,"""CID1338474""",Go Mini,Jahangirpuri,Pitampura,5.6,35.7,492.0,6.48,4.7,4.4,Debit Card,2024-06-18 11:55:34,11,18,1,6,0
2024-05-23,22:53:16,"""CNR2752144""",Completed,"""CID9695772""",Premier Sedan,Satguru Ram Singh Marg,Gurgaon Sector 29,8.8,43.0,288.0,32.36,4.1,3.7,Cash,2024-05-23 22:53:16,22,23,3,5,0
2024-03-08,06:02:54,"""CNR3497665""",Completed,"""CID1479128""",Auto,Lal Quila,IIT Delhi,6.5,22.0,79.0,14.36,4.3,5.0,Cash,2024-03-08 06:02:54,6,8,4,3,0
2024-05-10,21:12:00,"""CNR7772706""",Completed,"""CID4369620""",Bike,Dwarka Mor,Chandni Chowk,10.4,37.3,310.0,45.28,3.9,4.6,Cash,2024-05-10 21:12:00,21,10,4,5,0
2024-10-21,21:48:14,"""CNR2827047""",Completed,"""CID3886146""",Auto,Delhi Gate,Indirapuram,2.7,43.7,754.0,15.72,4.3,4.1,UPI,2024-10-21 21:48:14,21,21,0,10,0
2024-04-17,19:17:45,"""CNR5336455""",Completed,"""CID5042833""",Bike,IGI Airport,Rohini East,4.4,24.8,576.0,40.09,4.1,4.5,Cash,2024-04-17 19:17:45,19,17,2,4,0
2024-11-05,08:26:48,"""CNR1381576""",Completed,"""CID7960814""",Auto,Kirti Nagar,Indirapuram,12.1,18.4,789.0,8.94,3.8,4.6,Debit Card,2024-11-05 08:26:48,8,5,1,11,0
2024-04-01,11:59:02,"""CNR9994270""",Completed,"""CID2297083""",Go Sedan,Lajpat Nagar,Kadarpur,8.3,31.4,678.0,42.4,3.9,4.6,Debit Card,2024-04-01 11:59:02,11,1,0,4,0
2024-12-24,10:14:19,"""CNR5768034""",Completed,"""CID1467727""",Go Mini,Ghaziabad,Chirag Delhi,14.7,30.8,154.0,44.2,5.0,4.6,Credit Card,2024-12-24 10:14:19,10,24,1,12,0
2024-04-26,16:20:55,"""CNR5200539""",Completed,"""CID5962432""",Go Mini,Saket,Panipat,6.5,39.6,50.0,40.16,3.9,4.6,Cash,2024-04-26 16:20:55,16,26,4,4,0
2024-04-18,19:21:18,"""CNR7075809""",Completed,"""CID8177851""",Go Mini,Kashmere Gate,Lajpat Nagar,9.7,44.4,129.0,22.38,4.2,4.2,UPI,2024-04-18 19:21:18,19,18,3,4,0
2024-04-03,16:12:47,"""CNR7972851""",Completed,"""CID6664571""",Go Sedan,Civil Lines Gurgaon,Lal Quila,4.5,34.8,656.0,19.17,4.6,4.7,Cash,2024-04-03 16:12:47,16,3,2,4,0
2024-11-27,07:44:42,"""CNR2988682""",Completed,"""CID9775105""",Auto,Mayur Vihar,Shastri Nagar,3.1,37.6,139.0,9.82,4.6,4.7,UPI,2024-11-27 07:44:42,7,27,2,11,0
2024-12-07,14:01:52,"""CNR3375894""",Completed,"""CID1448342""",Premier Sedan,Dilshad Garden,Govindpuri,6.6,20.5,1413.0,16.33,4.3,4.9,UPI,2024-12-07 14:01:52,14,7,5,12,1
2024-06-02,21:49:40,"""CNR2310950""",Completed,"""CID9421799""",Bike,Kashmere Gate ISBT,Meerut,11.1,22.0,568.0,6.68,3.8,5.0,UPI,2024-06-02 21:49:40,21,2,6,6,1
2024-12-14,08:03:33,"""CNR6535756""",Completed,"""CID7401503""",Go Sedan,Inderlok,Rohini,12.1,25.7,438.0,46.52,4.5,4.4,Uber Wallet,2024-12-14 08:03:33,8,14,5,12,1
2024-07-05,20:11:57,"""CNR1557583""",Completed,"""CID1719501""",Auto,Shastri Nagar,Raj Nagar Extension,12.1,16.1,224.0,30.05,4.1,4.3,UPI,2024-07-05 20:11:57,20,5,4,7,0
2024-02-03,10:47:37,"""CNR3014495""",Completed,"""CID8029139""",Premier Sedan,Dwarka Sector 21,Dilshad Garden,13.4,43.8,725.0,33.02,4.6,4.9,Cash,2024-02-03 10:47:37,10,3,5,2,1
2024-02-05,16:07:20,"""CNR6507853""",Completed,"""CID4582180""",Auto,Paschim Vihar,Kashmere Gate ISBT,5.5,32.4,181.0,5.59,4.3,4.4,UPI,2024-02-05 16:07:20,16,5,0,2,0
2024-06-16,00:58:28,"""CNR1600883""",Completed,"""CID7260358""",Go Sedan,Mehrauli,Netaji Subhash Place,5.7,42.4,983.0,22.35,4.5,4.8,UPI,2024-06-16 00:58:28,0,16,6,6,1
2024-09-08,22:37:50,"""CNR4255926""",Completed,"""CID5035610""",Go Sedan,South Extension,Satguru Ram Singh Marg,9.4,29.9,386.0,11.22,4.2,4.3,Cash,2024-09-08 22:37:50,22,8,6,9,1
2024-02-07,13:21:32,"""CNR4865316""",Completed,"""CID6232811""",Bike,Uttam Nagar,Mehrauli,9.7,30.5,871.0,27.12,4.3,4.4,Cash,2024-02-07 13:21:32,13,7,2,2,0
2024-03-22,07:31:11,"""CNR5139594""",Completed,"""CID6981482""",Uber XL,DLF Phase 3,Netaji Subhash Place,13.5,26.4,419.0,29.43,3.2,4.2,Cash,2024-03-22 07:31:11,7,22,4,3,0
2024-03-11,17:23:03,"""CNR4776226""",Completed,"""CID7354576""",Go Mini,Ghitorni,Jama Masjid,9.7,21.8,475.0,46.79,4.6,4.4,UPI,2024-03-11 17:23:03,17,11,0,3,0
2024-06-27,20:46:32,"""CNR5809966""",Completed,"""CID9248261""",Premier Sedan,Meerut,Pitampura,8.2,33.8,201.0,4.78,4.3,4.7,Cash,2024-06-27 20:46:32,20,27,3,6,0
2024-11-04,10:51:22,"""CNR1103901""",Completed,"""CID9342148""",Go Sedan,Kanhaiya Nagar,Jama Masjid,11.9,32.3,353.0,33.99,4.4,4.5,UPI,2024-11-04 10:51:22,10,4,0,11,0
2024-04-28,19:59:33,"""CNR1413241""",Completed,"""CID9295519""",Auto,Kanhaiya Nagar,Vishwavidyalaya,7.5,22.3,528.0,32.62,4.9,4.3,Uber Wallet,2024-04-28 19:59:33,19,28,6,4,1
2024-03-18,09:45:09,"""CNR4411471""",Completed,"""CID8137391""",Auto,Madipur,Subhash Chowk,14.3,34.7,653.0,39.81,4.6,4.7,Uber Wallet,2024-03-18 09:45:09,9,18,0,3,0
2024-06-17,14:25:14,"""CNR8464719""",Completed,"""CID1268822""",Go Mini,Nirman Vihar,Moti Nagar,6.5,19.8,458.0,42.37,4.8,4.3,UPI,2024-06-17 14:25:14,14,17,0,6,0
2024-03-01,15:30:24,"""CNR7479663""",Completed,"""CID3889367""",Go Sedan,Indirapuram,Janakpuri,8.2,38.2,316.0,43.67,4.0,5.0,Credit Card,2024-03-01 15:30:24,15,1,4,3,0
2024-03-30,13:46:27,"""CNR1655353""",Completed,"""CID5216993""",Go Mini,Gurgaon Sector 29,Chandni Chowk,8.5,23.9,767.0,45.97,4.0,4.6,UPI,2024-03-30 13:46:27,13,30,5,3,1
2024-08-25,11:07:08,"""CNR4952280""",Completed,"""CID2476565""",Go Sedan,Karol Bagh,Connaught Place,8.1,40.1,578.0,30.99,4.9,3.9,Debit Card,2024-08-25 11:07:08,11,25,6,8,1
2024-11-19,10:43:18,"""CNR8692137""",Completed,"""CID1805741""",Go Sedan,Badarpur,Chandni Chowk,9.1,26.4,364.0,39.84,4.8,5.0,Credit Card,2024-11-19 10:43:18,10,19,1,11,0
2024-11-18,23:17:21,"""CNR5918961""",Completed,"""CID3635287""",eBike,Netaji Subhash Place,Vishwavidyalaya,10.8,36.7,120.0,31.31,3.7,4.2,Cash,2024-11-18 23:17:21,23,18,0,11,0
2024-07-04,04:33:59,"""CNR6320193""",Completed,"""CID3298203""",Premier Sedan,Palam Vihar,Ghaziabad,7.5,27.5,337.0,32.1,4.2,4.9,Cash,2024-07-04 04:33:59,4,4,3,7,0
2024-01-24,18:28:03,"""CNR9199367""",Completed,"""CID6596318""",eBike,Jasola,Nirman Vihar,2.1,42.1,425.0,19.84,4.6,4.4,UPI,2024-01-24 18:28:03,18,24,2,1,0
2024-05-26,10:03:56,"""CNR9542892""",Completed,"""CID8560025""",Go Sedan,Noida Sector 62,Saket,14.6,26.2,439.0,39.61,4.0,4.2,UPI,2024-05-26 10:03:56,10,26,6,5,1
2024-02-08,07:06:10,"""CNR3820970""",Completed,"""CID5877483""",Bike,IIT Delhi,Dilshad Garden,8.5,33.9,213.0,47.81,4.9,4.0,UPI,2024-02-08 07:06:10,7,8,3,2,0
2024-08-25,02:34:29,"""CNR8205874""",Completed,"""CID6796861""",eBike,Hauz Khas,MG Road,7.1,33.0,375.0,7.37,4.4,4.3,Credit Card,2024-08-25 02:34:29,2,25,6,8,1
2024-09-14,09:31:44,"""CNR8968700""",Completed,"""CID1954079""",Uber XL,Sonipat,Basai Dhankot,2.3,23.6,499.0,38.45,4.2,4.4,UPI,2024-09-14 09:31:44,9,14,5,9,1
2024-04-16,05:07:06,"""CNR2033075""",Completed,"""CID6995472""",Premier Sedan,Ashram,Vidhan Sabha,5.1,39.9,450.0,28.8,3.2,4.6,Cash,2024-04-16 05:07:06,5,16,1,4,0
2024-10-09,08:22:19,"""CNR1124244""",Completed,"""CID7823535""",Premier Sedan,Ashok Park Main,Ashram,14.7,36.8,163.0,39.76,3.3,4.3,UPI,2024-10-09 08:22:19,8,9,2,10,0
2024-05-18,07:06:20,"""CNR3351359""",Completed,"""CID3911876""",Go Sedan,Udyog Bhawan,Inderlok,11.5,24.8,243.0,31.09,4.3,4.2,Uber Wallet,2024-05-18 07:06:20,7,18,5,5,1
2024-01-12,14:12:09,"""CNR5414476""",Completed,"""CID3579342""",Auto,Kanhaiya Nagar,Inderlok,8.5,31.4,482.0,17.99,4.6,4.5,Credit Card,2024-01-12 14:12:09,14,12,4,1,0
2024-05-18,08:55:55,"""CNR7927021""",Completed,"""CID5916737""",Bike,Inderlok,Sadar Bazar Gurgaon,7.5,37.6,379.0,13.74,4.2,4.6,UPI,2024-05-18 08:55:55,8,18,5,5,1
2024-12-10,04:04:53,"""CNR6169624""",Completed,"""CID4126484""",Premier Sedan,Subhash Nagar,Pragati Maidan,9.2,35.9,305.0,14.61,4.9,4.4,Cash,2024-12-10 04:04:53,4,10,1,12,0
2024-06-19,19:27:50,"""CNR7341809""",Completed,"""CID1721008""",Premier Sedan,Ghitorni Village,Manesar,6.7,41.2,373.0,49.31,4.6,4.1,Credit Card,2024-06-19 19:27:50,19,19,2,6,0
2024-12-04,08:18:05,"""CNR3151246""",Completed,"""CID8507327""",Go Mini,Chhatarpur,Saidulajab,14.4,43.4,93.0,16.13,4.3,4.7,Cash,2024-12-04 08:18:05,8,4,2,12,0
2024-01-17,20:23:23,"""CNR1886628""",Completed,"""CID7730677""",Go Mini,Netaji Subhash Place,Bhiwadi,12.2,21.7,494.0,22.07,3.1,4.3,Uber Wallet,2024-01-17 20:23:23,20,17,2,1,0
2024-04-28,14:10:14,"""CNR8490970""",Completed,"""CID1128847""",Go Sedan,Badshahpur,Indirapuram,6.8,42.9,515.0,15.43,4.3,4.7,Credit Card,2024-04-28 14:10:14,14,28,6,4,1
2024-05-01,12:40:20,"""CNR7315204""",Completed,"""CID3699411""",Go Sedan,Noida Sector 18,GTB Nagar,13.3,45.0,459.0,39.85,4.7,5.0,UPI,2024-05-01 12:40:20,12,1,2,5,0
2024-03-18,17:45:22,"""CNR7565298""",Completed,"""CID6551839""",Premier Sedan,Mehrauli,Kherki Daula Toll,12.7,18.9,322.0,19.45,3.8,4.1,Cash,2024-03-18 17:45:22,17,18,0,3,0
2024-03-31,19:29:00,"""CNR7887104""",Completed,"""CID3708975""",Go Sedan,Karol Bagh,Subhash Nagar,6.8,24.8,1220.0,39.34,4.2,4.9,Credit Card,2024-03-31 19:29:00,19,31,6,3,1
2024-12-13,12:23:51,"""CNR6225210""",Completed,"""CID8975546""",Auto,Mansarovar Park,Ambience Mall,4.9,35.9,231.0,25.53,4.6,4.8,UPI,2024-12-13 12:23:51,12,13,4,12,0
2024-10-13,13:31:59,"""CNR9338770""",Completed,"""CID5183024""",Auto,New Delhi Railway Station,Kaushambi,3.9,16.2,193.0,38.73,4.1,3.9,UPI,2024-10-13 13:31:59,13,13,6,10,1
2024-07-31,20:33:44,"""CNR3104804""",Completed,"""CID5135529""",Auto,Vasant Kunj,Gurgaon Railway Station,11.7,19.5,101.0,5.56,4.0,4.3,Credit Card,2024-07-31 20:33:44,20,31,2,7,0
2024-02-14,09:30:58,"""CNR6971101""",Completed,"""CID5585661""",Bike,Punjabi Bagh,Ashok Park Main,2.5,32.5,1576.0,40.15,4.5,4.9,UPI,2024-02-14 09:30:58,9,14,2,2,0
2024-11-21,13:05:12,"""CNR9659967""",Completed,"""CID2473533""",Auto,Meerut,Udyog Vihar,11.5,16.1,290.0,9.05,4.0,4.3,UPI,2024-11-21 13:05:12,13,21,3,11,0
2024-06-08,20:51:23,"""CNR5431861""",Completed,"""CID6603283""",Premier Sedan,Gwal Pahari,Welcome,8.6,36.9,528.0,36.86,4.3,4.7,UPI,2024-06-08 20:51:23,20,8,5,6,1
2024-04-23,17:43:20,"""CNR3929732""",Completed,"""CID8357268""",Go Mini,Bahadurgarh,Pitampura,13.2,32.0,449.0,2.27,4.3,3.9,UPI,2024-04-23 17:43:20,17,23,1,4,0
2024-10-21,12:52:53,"""CNR5809936""",Completed,"""CID7670154""",Premier Sedan,Botanical Garden,Pragati Maidan,10.7,25.9,94.0,37.05,4.2,4.3,UPI,2024-10-21 12:52:53,12,21,0,10,0
2024-10-13,23:51:15,"""CNR9738428""",Completed,"""CID8440902""",Auto,Chanakyapuri,Netaji Subhash Place,3.4,43.8,1174.0,24.1,4.3,4.3,Cash,2024-10-13 23:51:15,23,13,6,10,1
2024-03-15,20:15:17,"""CNR6084086""",Completed,"""CID6948405""",Go Mini,Badshahpur,Barakhamba Road,6.9,22.5,252.0,26.1,4.2,4.2,UPI,2024-03-15 20:15:17,20,15,4,3,0
2024-03-28,15:41:41,"""CNR6121429""",Completed,"""CID5919599""",Bike,IIT Delhi,Qutub Minar,7.7,30.1,192.0,30.51,3.8,4.5,Cash,2024-03-28 15:41:41,15,28,3,3,0
2024-03-05,20:43:58,"""CNR4265474""",Completed,"""CID4850556""",Go Mini,South Extension,Kherki Daula Toll,10.0,40.4,68.0,6.0,4.9,3.7,UPI,2024-03-05 20:43:58,20,5,1,3,0
2024-01-27,10:01:19,"""CNR2582391""",Completed,"""CID3120276""",Go Mini,Kashmere Gate,AIIMS,4.6,43.6,475.0,16.57,4.4,4.3,UPI,2024-01-27 10:01:19,10,27,5,1,1
2024-11-18,15:12:18,"""CNR4303475""",Completed,"""CID2863231""",Auto,Chanakyapuri,Sadar Bazar Gurgaon,14.8,19.4,268.0,17.84,4.3,4.6,Uber Wallet,2024-11-18 15:12:18,15,18,0,11,0
2024-11-18,16:43:07,"""CNR7425042""",Completed,"""CID9052613""",Auto,Hauz Khas,Ghaziabad,3.1,41.2,435.0,39.76,3.1,5.0,UPI,2024-11-18 16:43:07,16,18,0,11,0
2024-09-21,16:33:55,"""CNR7445601""",Completed,"""CID9243631""",Go Mini,South Extension,Tilak Nagar,6.1,25.2,884.0,15.24,4.0,4.4,UPI,2024-09-21 16:33:55,16,21,5,9,1
2024-02-09,12:57:27,"""CNR2487743""",Completed,"""CID6060570""",Bike,Sadar Bazar Gurgaon,Moti Nagar,13.8,44.0,112.0,37.84,4.2,4.7,UPI,2024-02-09 12:57:27,12,9,4,2,0
2024-09-21,14:47:56,"""CNR1047279""",Completed,"""CID9667967""",Go Sedan,Patel Chowk,Anand Vihar ISBT,12.2,15.3,714.0,26.32,4.5,4.8,Credit Card,2024-09-21 14:47:56,14,21,5,9,1
2024-07-17,12:23:28,"""CNR6668051""",Completed,"""CID2275296""",Go Sedan,Noida Sector 18,Chanakyapuri,11.4,36.8,506.0,17.23,4.2,4.2,Cash,2024-07-17 12:23:28,12,17,2,7,0
2024-02-11,20:45:14,"""CNR6149585""",Completed,"""CID7555322""",Go Mini,Lajpat Nagar,Old Gurgaon,8.4,29.3,895.0,5.93,4.6,4.6,Cash,2024-02-11 20:45:14,20,11,6,2,1
2024-08-05,16:29:00,"""CNR1294073""",Completed,"""CID2139516""",Premier Sedan,Subhash Chowk,Basai Dhankot,12.9,27.1,931.0,17.92,4.4,4.2,UPI,2024-08-05 16:29:00,16,5,0,8,0
2024-11-28,22:13:30,"""CNR5802016""",Completed,"""CID1979205""",Go Mini,Rajiv Nagar,Vasant Kunj,7.7,32.3,585.0,36.84,4.3,5.0,Cash,2024-11-28 22:13:30,22,28,3,11,0
2024-02-22,06:32:56,"""CNR1762502""",Completed,"""CID6814477""",Bike,Dwarka Sector 21,Paschim Vihar,2.6,37.6,247.0,27.82,4.1,4.4,UPI,2024-02-22 06:32:56,6,22,3,2,0
2024-05-28,15:22:04,"""CNR8216237""",Completed,"""CID5673948""",Bike,Laxmi Nagar,Arjangarh,9.4,32.4,389.0,23.7,4.2,4.9,Uber Wallet,2024-05-28 15:22:04,15,28,1,5,0
2024-12-22,20:47:02,"""CNR6772118""",Completed,"""CID9477440""",Premier Sedan,Nirman Vihar,Connaught Place,9.0,27.3,598.0,35.07,4.3,4.6,Credit Card,2024-12-22 20:47:02,20,22,6,12,1
2024-07-04,16:15:13,"""CNR4929002""",Completed,"""CID3903633""",Uber XL,Subhash Nagar,Jor Bagh,9.1,38.4,278.0,10.65,4.9,4.3,UPI,2024-07-04 16:15:13,16,4,3,7,0
2024-12-21,20:10:36,"""CNR7353762""",Completed,"""CID3019753""",Premier Sedan,Rajiv Chowk,Kashmere Gate,9.8,18.8,112.0,10.05,4.9,3.8,Cash,2024-12-21 20:10:36,20,21,5,12,1
2024-12-05,09:42:32,"""CNR9091590""",Completed,"""CID8406198""",Auto,Kashmere Gate ISBT,Mundka,2.6,31.4,239.0,44.97,3.8,4.3,UPI,2024-12-05 09:42:32,9,5,3,12,0
2024-12-13,21:13:45,"""CNR1331917""",Completed,"""CID8873482""",Go Mini,Model Town,Sohna Road,2.6,25.8,442.0,36.43,4.4,4.1,Cash,2024-12-13 21:13:45,21,13,4,12,0
2024-06-08,22:17:52,"""CNR2592475""",Completed,"""CID2496835""",Premier Sedan,Samaypur Badli,Dwarka Mor,9.8,21.1,581.0,17.01,4.9,4.9,UPI,2024-06-08 22:17:52,22,8,5,6,1
